품목별,값1,값2,값3
기타 알코올 및 관련 유도체,149563,162504,115327
기타 액정표시장치 부품,1039909,799325,604667
기타 액체여과기,218304,266328,176008
기타 어류 및 부산물의 냉동품,195527,218072,226363
기타 여성용 편조 외의(편직결합),83738,100114,115525
기타 연소가능물품,11847,13454,22563
기타 열연강판(스테인리스제 제외),5873623,6515719,6264318
기타 영상게임기 부품,X,,
기타 오락용품,55452,53348,40904
기타 오락용품의 부품,X,X,X
기타 용접기,29567,32576,30239
기타 운동 및 경기용구,54835,36140,37718
기타 운송장비 제조업,41362307,36200035,39817066
기타 위생도기제품,37807,35546,27280
기타 위생용 고무제품,34766,42205,50487
기타 위생용 종이제품,6134,5805,11579
기타 유리공업용 기계,73813,32375,40416
기타 유리제품,19534,14030,7301
기타 유사국수,65130,56762,45034
기타 유선 교환기,X,X,8431
기타 유선 통신기기 부품,29768,36557,43499
기타 유선전화기,106749,95386,86303
기타 유선통신기기,53567,72190,35975
기타 유압기기,105207,89514,102440
기타 육상 금속 골조 구조제조재,660758,602923,647403
기타 육지동물 소시지 유사제품,282416,305675,282038
기타 음극선관,X,X,X
기타 음향 녹음 또는 재생기기,X,X,X
기타 음향관련 기기,14529,15719,12285
기타 의료기기 부품,348655,400582,430739
기타 의료용 가구,49806,63750,82928
기타 의료용 기기,621896,653419,698751
기타 의복악세서리,23415,24143,26181
기타 의약관련제품,187912,332931,234991
기타 인삼기저 식품,16882,16726,17517
기타 인쇄 및 필기용지,61190,53012,51787
기타 인쇄관련기계,38799,35263,46567
기타 인쇄회로원판,599020,512419,577789
기타 인스턴트면류,53043,54001,66000
기타 일반도자기,X,X,X
기타 일반목적용 기계,386702,388103,395063
기타 일반목적용기계 부품,1379343,445804,492811
기타 일반철물,274431,266416,268605
기타 입력장치,180280,186924,195840
기타 잉크,64225,84702,80885
기타 자건품,18451,21637,27357
기타 자동조절기,182246,180814,177434
기타 자동차,40373,92591,70775
기타 자동차 타이어,71976,47259,49588
기타 자동차용 신품 전기장치,96598,188409,112780
기타 작업용 수공구,74725,85339,98097
기타 장난감,49282,55321,61656
기타 장류,120396,78646,87851
기타 장식용 목제품,16944,13618,13712
기타 재료제의 신발,X,X,
기타 재료제의 신발부분품,51246,56528,28177
기타 재배관련기기,71857,95748,90133
기타 재생섬유,19384,28791,61393
기타 저압 차단기(1000v 미만),260537,273557,279632
기타 적산계기,184317,114965,97266
기타 전구 및 램프,28634,29694,36398
기타 전기 및 전자식 진단용기기,256705,276752,314957
기타 전기 접속기기,127748,116680,235307
기타 전기량 측정 및 검사용기기,130009,106488,155162
기타 전기식 이미용기구,144518,212933,262906
기타 전기식 조리기기,51794,51854,40189
기타 전기식 치료 및 요법기기,124659,122943,120903
기타 전기용 탄소제품,10537,19403,28438
기타 전기용접기,32457,55197,18101
기타 전기장비,126313,134784,156471
기타 전기장비의 부품,90831,71600,67121
기타 전분제품,90895,34396,191855
기타 전선,845731,911393,657580
기타 전자 부품,905572,792071,795454
기타 전자공업용 화학화합물,542534,718777,439352
기타 전자관 부품,12691,15597,43801
기타 전자유도자,669717,739597,110468
기타 전자응용 절삭기계,95536,69759,56185
기타 전자접속 카드,X,X,X
기타 점토(채굴),X,X,X
기타 젓갈류,108372,141450,140589
기타 정지형 변환기,99011,104222,89296
기타 정형 내화 요업제품,87863,93008,101984
기타 제품,84471,137520,67861
기타 제품 제조업,5358097,5540126,5591375
기타 조립구조재,186914,159374,192247
기타 조립금속제품,273752,293492,273459
기타 조명장치 부품,14660,15447,22022
기타 조물제품,X,X,X
기타 조미조제식품 및 어류훈제품,85130,73575,72072
기타 종이 및 판지,94528,97319,85876
기타 종이 및 판지제품,57527,76675,76179
기타 종이가공 기계,36542,47206,39679
기타 종이상자 및 용기(판지 및 골판지 이외),387198,380611,414693
기타 주방용 전기기기,26716,53485,48416
기타 주형관련 부속품,572885,555619,412801
기타 증류주 및 합성주,38760,22074,13681
기타 직물갑피제 또는 가죽갑피제 신발,155853,115094,99689
기타 직물제품,376118,436483,535494
기타 질소비료,9335,16778,25958
기타 채소가공품,382426,431674,413560
기타 천연 모피제품,X,X,X
기타 천연조미료,190578,215873,169018
기타 철강 단조물,654030,585987,587837
기타 철도차량 전용부품,396789,357883,435208
기타 철선조립제품,71032,74849,82939
기타 축산기계,90851,104190,110391
기타 출력장치(컴퓨터용),X,X,X
"기타 측정, 시험, 항해 및 정밀기기 및 부품",167744,157422,172117
기타 침구관련제품,20835,23278,39676
기타 침실용 목제가구,49710,51978,71686
기타 카르복실산 및 그 유도체,78264,142748,130619
기타 칼륨비료,X,X,X
기타 칼륨염,15949,X,X
기타 캔버스제품,18227,22874,21395
기타 컴퓨터,252572,93495,107644
기타 컴퓨터 주변기기,47185,29929,28914
기타 컴퓨터용 보드,22027,12208,8547
"기타 콘크리트, 시멘트제품",111321,102336,75601
기타 콘크리트관,556778,540087,612222
기타 탄산음료,620579,550893,652407
기타 탄화수소 유도체,616927,899377,820913
기타 특수 직기,13912,11834,9872
기타 특수가공가죽,33691,37033,34827
기타 특수사,42308,40394,38266
기타 특수직물,117484,121163,265445
기타 특장,1347944,701192,706523
기타 파스너,6415,9850,11177
기타 판유리 가공품,270877,322146,295592
기타 판지,28470,11762,16810
기타 펄프,7660,24983,X
기타 펜,33659,32850,32373
기타 편조물,58097,50481,53921
기타 편조제품,25280,22005,16776
기타 평판 디스플레이 부품,501472,608846,620768
기타 평판디스플레이 판넬,35556,44225,48612
기타 포틀랜드 시멘트,824604,672243,801966
기타 표면가공목재,45773,39064,56622
기타 프레스 가공품,1242444,1092277,922771
기타 플라스틱 및 고무제 신발,10841,10916,12319
기타 플라스틱 및 고무제 신발부분품,111170,80067,77200
기타 플라스틱 발포제품,237972,187550,173401
기타 플라스틱 제조 기계,54944,48721,63260
기타 플라스틱 제품,890225,832414,921368
기타 플라스틱 포장용기,3237530,3533987,3800222
기타 필기용품,9322,18282,25171
기타 필라멘트 전구,7770,X,X
기타 합성고무,968238,905669,992297
기타 합성수지,1137401,1248854,1618312
기타 합성수지 도료,409766,385872,409140
기타 합성스테이플섬유,X,X,X
기타 합성염료,64898,61898,81516
기타 항공기 전용부품,2525396,2370772,2166428
기타 항해용 강선,1865548,2453595,2746970
기타 항해용 기기,185390,182252,401348
기타 해조류 가공품,95630,126361,130003
기타 호흡관련 의료기기,164968,163749,82474
기타 혼성 집적회로,X,29826,101150
기타 혼합조제조미료,1046744,1109157,1462925
기타 화물선(철강제),X,X,X
기타 화장품,1904743,1726386,1932634
기타 화학 및 비료 원료용 광물(채굴),X,X,X
"기타 화학 살균, 살충제 및 농업용 약제",45855,44364,45919
기타 화학비료,18570,19165,56963
기타 화학섬유 및 방적기,21062,29917,23028
기타 화학제품,1089499,1207722,1302057
기타 화학조미료,120758,127059,161436
기타 환식탄화수소,X,X,X
기타 회화용품,22906,20482,22093
기타 휴대용 전화기 부품,4115654,3505109,1003162
기타 휴대용 컴퓨터,X,X,X
기타 １차 비철금속제품,199205,157329,162244
기타(guitar),14058,8425,9438
기타가공사,212865,191291,180747
기타도금 강선,25386,26332,30849
기타도포 및 적층직물,254892,309001,310043
기타비료,73551,98266,146932
기타산업용가스,909475,706357,846742
기타위생용지,22062,X,64259
기타전자관,23941,12395,9048
김,1465616,1503624,1555517
김밥(제조도매),327126,351005,443896
김치,1282919,1338935,1345997
김치냉장고,1103544,907314,875603
껌,224824,185808,206462
꽁치통조림,15657,16167,18548
꿀차,6672,13787,11810
끈 및 로프(식물성섬유),47648,58183,66670
끈(합성섬유),30629,36626,34561
끈가공품,57220,56778,62555
나동선,2960479,3249998,3209802
나사 전조기,76872,86114,102748
나사못(금속제),371702,373167,389621
나염기,X,,
나전칠기제의 가구,X,X,
나프타,13192752,16070141,16315359
낙농품 가공기계,53082,39756,45421
낙하산,X,X,X
낚시 인조찌,6827,X,X
낚시대,101867,108245,79834
낚시릴,120768,122725,98563
낚시바늘,22731,24171,25946
