품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
  각재,128,517959,515767,15110
  판재,35,48832,48436,1528
  제재부산물,37,64405,62816,2888
  마루용 판재,14,129233,128328,9594
  우드몰딩,33,59252,59036,3044
  궤도용 침목,6,12458,12425,712
  목모와 목분,5,7676,7159,1839
  칩상 또는 삭편상의 목재,11,27372,27477,300
  기타 표면가공목재,5,7857,7737,496
  표면처리 및 방부처리목재,24,134889,134389,1038
  단판,6,42105,41274,2047
  일반 합판,33,311721,299785,22872
  가공합판,57,298485,294329,16528
  파티클보드(PB),8,85835,85415,2869
  MDF(중밀도섬유판),15,484607,486251,14557
  재생목재,13,55863,55519,2003
  목재의 창문 및 창문틀,29,107641,107133,4839
  목재의 문 및 문틀,76,284429,282106,13623
  목재 패널,27,183455,181060,13912
  목재의 건물 부착물,45,125720,125143,6629
  목재 깔판류 및 기타 적재용 판,133,385959,384047,9788
  목재통 및 관련 부품,7,13480,13320,320
  목재의 포장 및 운반용 상자,112,270036,269300,2531
  목재의 케이블드럼,16,59558,59641,1120
  목재도구 및 부품,9,14140,13859,343
  주방용 또는 가정용 목제품,11,12617,12658,383
  목재 그림틀 및 사진틀,6,10253,10204,351
  기타 장식용 목제품,6,7233,6742,2049
  장의용 목관,11,16008,15678,2246
  기타 목제품,20,32412,32075,655
  콜크 및 콜크제품,2,...,...,...
  대나무 돗자리,1,...,...,...
  기타 조물제품,5,6185,5667,715
" 펄프, 종이 및 종이제품 제조업",1754,14639146,14576875,631295
  기계펄프,1,...,...,...
  화학펄프,2,...,...,...
  신문용지,6,973539,971835,38186
  백상지,17,842717,844688,32115
  중질지,7,155944,156566,15796
  박엽지,12,215589,202579,29051
  아트지,14,1330937,1342489,78716
  정보용지,15,301143,300529,18096
  지폐용지,1,...,...,...
  기타 인쇄 및 필기용지,19,54187,56947,2589
  크라프트지,12,211868,200578,22400
  골판지원지,28,1248324,1228020,58388
  백판지,10,461930,461744,24708
  기타 판지,2,...,...,...
  적층가공지(박지),51,344384,345095,17804
  포장지,46,294314,292869,17077
  접착지,31,161213,161068,3261
  기타 가공지,41,202665,202848,9911
  수제지,14,341827,344627,10303
  위생용지,12,152846,152245,5332
  기타 종이 및 판지,9,23805,23610,805
  골판지,28,338769,339206,3724
  골판지 상자,510,2468922,2458675,50260
  기타 골판지제 관련제품,22,35650,35828,749
  종이 포대,34,120780,120560,3060
  종이 가방,29,107026,107188,2839
  판지상자 및 용기,131,389941,386674,11296
  식품위생용 종이상자,14,74015,74056,1670
  식품용 종이용기,17,132728,133022,4583
  기타 종이상자 및 용기(판지 및 골판지 이외),25,131144,131225,1573
  지관(판지 및 골판지 이외),93,242433,243459,6666
  전자복사기용지(소매용),21,76115,71486,7305
  노트류,44,182187,183182,25124
  컴퓨터용지,34,136960,135754,3742
  앨범,21,42270,42310,2554
  바인더,20,57029,56660,2460
  사무용 봉투,29,124369,124116,5948
  장부류,2,...,...,...
  기타 문구용 종이제품,35,76061,75806,7548
  화장지,76,792116,786384,24764
  종이 타월,29,110340,109898,4460
  종이 생리대,6,169300,167466,10178
  종이 기저귀,16,382102,381213,13510
  기타 위생용 종이제품,9,27031,26988,544
  종이벽지,26,237193,231732,19388
  직물벽지,4,55464,52766,8120
  장판지,1,...,...,...
  여과지,14,115986,115582,4009
  종이 라벨,37,188557,188204,3419
  식품용 종이제품(용기 및 상자 제외),41,129143,129303,6972
  기타 종이 및 판지제품,36,90596,89464,3575
 인쇄 및 기록매체 복제업,115,433380,427419,19630
  인쇄판,82,340275,334327,16327
  오디오 복제물(테이프),8,26961,27185,944
  오디오 복제물(CD),11,36006,36169,881
  비디오 복제물(테이프),4,6672,6686,16
  기타 기록매체 복제물,10,23466,23052,1462
" 코크스, 연탄 및 석유정제품 제조업",207,68784610,68694211,1636585
  석탄코크스,3,12465,12638,236
  콜타르(조상의 것),2,...,...,...
  연탄,32,124870,124670,201
  휘발유,5,6635146,6639381,126563
  제트유,5,8563036,8487366,209054
  등유,6,3254113,3285091,203199
  경유,6,22372682,22255073,491712
  중유(벙커B유),5,395984,392684,17494
  벙커C유,5,9195897,9230900,281447
  나프타,5,9828707,9853695,97361
  솔벤트나프타,6,663364,663505,17049
  정제혼합용 원료유,2,...,...,...
  프로판가스,10,717335,717171,4833
  부탄가스,7,2142494,2142883,13347
  석유가스,1,...,...,...
  윤활유(석유기저),39,1375807,1371813,44569
  그리스(석유기저),7,39027,39057,1832
  재생 윤활유 및 그리스,15,45011,44766,1711
  파라핀,4,121170,121032,13385
  아스팔트,9,1397721,1393725,24772
  재생유,28,144638,143611,6203
  기타 석유정제품,5,51226,50534,901
 화학물질 및 화학제품 제조업;의약품 제외,3813,87427554,87237207,3853273
  부탄 및 부틸렌(나프타분해물),4,743300,740096,9207
  에틸렌,10,3145880,3143898,34396
  프로필렌,10,2499697,2495355,34568
  부타디엔,8,898291,891020,47945
  기타 비환식 탄화수소,8,225064,223228,9629
  알킬벤젠,6,1420119,1412599,41365
  기타 벤젠,7,747496,757215,21376
  톨루엔,12,1764255,1767841,42392
  드니트로톨루엔(DNT),6,1546384,1557882,15335
  파라크실렌,6,4151807,4165927,67685
  올소크실렌,2,...,...,...
  스티렌모노모(SM),7,3247788,3206680,148900
  기타 환식탄화수소,4,142681,144771,3423
  이염화에틸렌(EDC),3,99001,97472,11000
  염화비닐모노모(VCM),3,757382,758772,14281
  CFM(클로로포름),1,...,...,...
  기타 탄화수소 유도체,6,1301120,1290036,39970
  숯,13,17137,16765,1088
  기타 검 및 나무화합물,6,16413,17062,313
  콜탈핏치,2,...,...,...
  석탄 화학물,5,279517,270908,25296
  부탄올,1,...,...,...
  옥탄올,3,558200,551271,15068
  메탄올,3,12684,12563,480
  에틸알콜(공업용),4,55117,54297,7926
  에틸렌 글리콜(EG),3,783620,770167,25360
  프로필렌 글리콜(PG),2,...,...,...
  폴리프로필렌글리콜(PPG),9,1048934,1050892,70830
  페놀,2,...,...,...
  기타 알코올 및 관련 유도체,10,365260,362303,8983
  공업용 지방산,1,...,...,...
  초산,5,302210,298249,11947
  초산에틸,3,44298,44876,2075
  아크릴산,3,116211,118755,5308
  무수마레인산,3,45351,45200,1299
  무수프탈산(PA),5,377555,368721,16167
  테레프탈산(TPA),8,3746677,3759028,48431
  아크릴레이트,3,294879,293306,17293
  메틸메타크릴레이트(MMA),2,...,...,...
  기타 카르복실산 및 그 유도체,19,671630,664509,27377
  MTBE,1,...,...,...
  아민,6,68763,68421,3188
  아크릴로니트릴(AN),4,753762,734514,40458
  이소시아네이트(TDI),3,848179,844038,21917
  이소시아네이트(MDI),4,719692,720799,17443
  카프로락탐,1,...,...,...
  아세톤,4,253565,253069,18702
  포르말린,4,63274,63204,753
  가소제,8,567552,560353,24605
  ECH(에피클로로히드린),2,...,...,...
  DMF (디메틸포름아미드),1,...,...,...
  BPA,1,...,...,...
  PTMEG,1,...,...,...
  기타 기초유기화합물,13,483662,482558,27942
  수소,29,254533,254636,481
  질소,71,327200,325928,6966
  산소,81,204829,204732,1351
  아세틸렌가스,13,18495,18494,97
  이산화탄소,49,147217,147090,890
  아르곤가스,59,98936,98896,470
  기타산업용가스,50,282817,281996,5426
  구입한 압축 및 액화가스의 정제,3,2382,2301,1635
  염소,11,159969,160152,255
  염산,14,50902,53338,956
  수산화나트륨,3,174296,174507,3251
  기타 가성소다,22,193693,193151,3621
  소다회,4,12207,12055,255
  기타 소다공업제품,13,38311,36534,2593
  카본블랙,5,476573,475068,20547
  화이트카본,1,...,...,...
  이산화규소,2,...,...,...
  과산화수소,7,129770,129094,3005
  황,4,50563,50309,956
  합성귀석,1,...,...,...
  기타 비금속화합물,16,39641,38480,5571
  황산,19,111180,110610,2195
  인산,8,33605,32750,4206
  황산알루미늄,14,41094,40834,940
  황산마그네슘,2,...,...,...
  탄산칼슘,16,212835,212817,4807
  규산소다,14,36198,38057,1818
  시안화 나트륨,2,...,...,...
  수산화알루미늄,1,...,...,...
  탄산칼륨,1,...,...,...
  기타 칼륨염,4,73263,74385,956
  기타 금속 무기화합물,42,152718,148983,14506
  핵연료,2,...,...,...
  아연화,10,246887,245172,13235
  산화티타늄,5,152653,155610,3188
  산화철,8,31954,31906,1701
  기타 무기안료,11,78157,79092,7306
  천연색소,4,5980,6041,2
  유연제,27,193134,192994,4639
  분산염료,8,66822,65251,11424
  산성 및 매염염료,12,25536,25429,4217
  염기성염료,2,...,...,...
  직접염료,6,31384,29177,3896
  반응성염료,10,104915,103852,13635
  형광염료,7,49292,49002,3977
  플라스틱착색제(마스터배치),43,282859,283064,21131
  색소중간착색제,6,27139,26358,3437
  기타 합성염료,7,17672,17944,1765
  레이크계 안료,11,113500,113528,9396
  색소안료,9,83107,83297,5464
  질산,6,82714,83667,2016
  암모니아,11,114300,112709,8374
