품목별,출하금액(백만원)
콘크리트벽면,223241
조립식건축자재(콘크리트제),397394
콘크리트파일,865842
콘크리트전주,218986
흄관및VR관,173473
기타콘크리트관,732827
기타조립구조재,159484
기타콘크리트，시멘트제품,105775
건설용석제품,349899
착색가공석제품(건설용),31158
기념석,12969
건물석,31668
포장석,X
기타석재가공품,40206
아스팔트콘크리트및혼합제품,1254276
연마휠,65761
연마석,144750
연마지및포,370488
활석분,124092
규석분,109513
기타비금속광물분쇄물,622504
브레이크라이닝,10410
암면및유사제품,463628
탄소섬유,273783
아스팔트성형제품,114506
흑연및탄소제품(비전기용),193084
석면제품,55811
인공골재,90815
모래주형(중자포함),109458
기타비금속광물제품,52257
1차금속제조업,172872267
제강용선철,X
주물용선철,X
제철소부산물,39516
슬래브,958058
블룸및쉬트바,X
빌렛,729340
강괴,64844
망간철,243610
합금철(페로얼로이),2579101
철분(철분쇄물),214132
봉강(보통강),1820114
봉강(특수강),1321383
봉강(스테인리스강),2325009
일반철근,4959038
고장력철근,2661555
선재(보통강),888090
선재(특수강),2993101
선재(스테인리스강),42780
형강(보통강),2964143
형강(특수강),1991361
"중후판(두께3mm이상,스테인리스제제외)",8396314
열연광폭강대(스테인리스제제외),X
스테인리스중후판및열연강판,6078032
기타열연강판(스테인리스제제외),9961261
중궤조,X
경궤조,X
기타궤조및철도선로자재,5753
냉연봉강및냉연형강,742069
냉연광폭강대(스테인리스제제외),5675920
냉연협폭강대(스테인리스제제외),307828
냉연박판(스테인리스제제외),X
냉연전기강판(스테인리스제제외),X
스테인리스냉연강판,4657072
기타냉연강판(스테인리스제제외),3738220
보통철선,584822
경강선및피아노선,519462
PＣ강선,292598
냉간압조용강선(CHQ),824435
스테인리스강선,602513
아연도강선,483255
타이어보강강선,476983
기타도금강선,X
주철관(주조한것),404319
주철제관연결구류,199376
용접강관,5081182
무계목강관,745668
기타강관,211596
강관가공품,3791796
강관연결구류,2168032
아연도강판,12786103
주석도금강판,1047420
갈바륨강판,1367195
크롬도금강판,83742
알루미늄도금강판,1060426
기타도금강판,340926
칼라강판,3852414
도금강관및피복강관,587906
기타도금및피복처리강재,143539
철강절단품(구입한강재절단),8841662
동1차정련품,7030859
동2차정련품,1429490
알루미나,347614
알루미늄1차정련품,2594114
알루미늄2차정련품,2171497
연1차정련품,1569084
연2차정련품,536253
아연1차정련품,3900585
아연2차정련품,231384
금괴,3185316
은괴,2894820
기타귀금속1차정련품,123077
귀금속2차정련품,286508
니켈괴,X
주석괴,23391
기타비철금속1차정련품,1771801
기타비철금속2차정련품,211796
동봉,1249479
나동선,4056076
동판,2002200
동박(두께0.15㎜이하),728605
동관,1761343
동제의관연결구류,593250
알루미늄봉(압연에의한것),428293
알루미늄새시바(압출에의한것),2469961
알루미늄선,254208
알루미늄판,4729722
알루미늄박(두께0.2㎜이하),901746
알루미늄관,397735
알루미늄제관연결구류,59373
"니켈압연,압출및연신제품",272997
"연(납)압연,압출및연신제품",223517
"아연압연,압출및연신제품",206585
"주석압연,압출및연신제품",82033
텅스텐(중석)압연및압출제품,173403
귀금속압연및압출제품,159476
세금선,842501
기타비철금속압연및압출제품,224772
동분말,129144
알루미늄분말,X
아연분말,117702
텅스텐분말,94134
기타비철금속분말,268307
기타１차비철금속제품,317364
회주물(보통주철),2280913
가단주물,58761
구상흑연주물(덕타일주물),205033
보통강주물,1075007
특수강주물(합금강주물),354357
알루미늄주물,1304092
동주물,365070
기타비철금속주물,437174
금속가공제품제조업;기계및가구제외,71852146
건물용철문,381962
셔터문,105470
기타금속제문,721654
금속제창문,1160344
건축용금속공작물,2560407
판금제품,3328229
육상금속구조물,5582466
교량,340380
철제수문,110674
기타육상금속골조구조제조재,676729
수상금속구조물,2244186
금속제조립식건축물,582631
금속제조립식건축물용판넬,1676049
스티로폼샌드위치패널,349705
우레탄폼샌드위치패널,138401
그라스울샌드위치패널,204010
기타샌드위치패널,19966
산업용온수보일러,364262
방열기,123831
산업용온수보일러및방열기의부품,52306
저장용금속탱크,1540049
압축및액화가스용기,753045
원자로,X
수관보일러,145909
연관보일러,40588
기타산업용보일러,2501032
보일러부속품및부품,216902
원자로의부품,78098
군사용무기및부품,5279951
비군사용총기류,129100
기타비군사용무기및부품,11389
분말야금제품,378694
보통강단조물,1154732
특수강단조물,1309972
기타철강단조물,446208
스테인리스단조물,142498
알루미늄단조물,84047
동단조물,34711
기타비철금속단조물,53340
자동차용프레스가공품,3927618
가정용압형제품(알루미늄제),161094
가정용압형제품(스테인리스제),311768
기타프레스가공품,1675476
금속열처리제품,1254217
절삭가공,7025830
기타금속처리제품,1011769
금속제식탁용품(식기제외),27578
칼및칼날(식탁용나이프제외),61651
면도기및면도날,X
가위,34345
손톱및발톱깍기,46884
건물용철물,708237
가구용철물,452252
자동차용철물,1256039
디지털도어록,480090
"자물쇠,열쇠및관련부품(자동차용제외)",26555
캐스터(소형바퀴),86411
가방부착용철물,21936
커튼및블라인드부품,9615
기타일반철물,350161
"플라이어,뺀지,못뽑기",X
드라이버,X
스패너및렌치,12550
기타작업용수공구,59722
농업용수공구,7236
드릴,11526
햄머,X
기타수공구,19363
톱(수동식),71286
톱날,117715
공작기계용절삭공구,2273616
기타공작기계용부속물,143351
볼트및너트류(금속제),3836924
쇠못,134838
나사못(금속제),404015
리베트(금속제),25667
와셔(금속제),123352
기타금속파스너,52265
코일스프링,873697
잎(판상)스프링,124578
기타금속스프링,150795
철망,779233
와이어로프,751293
체인(동력전달용제외),46583
기타철선조립제품,118213
스틸캔(음식료품용),402578
알루미늄캔(음식료품용),792600
에어로졸캔,334697
드럼통,636525
금속튜브용기,114199
기타금속포장용기,807477
병마개,207155
알루미늄제주방및식탁용품,698739
스텐레스주방및식탁용품,372416
법랑제주방및식탁용품,12451
기타금속제주방및식탁용품,24069
싱크상판,138463
기타금속위생용품,74197
금속표시판,321408
용접봉,1014759
금속제액자틀,16455
기타금속제장식용품,77371
이동식금속사다리및부품,44121
"선박용프로펠러,날및닻",266890
금속제파킹및가스켓,145988
기타조립금속제품,313957
금속제영구자석제조,158465
바늘,58462
금고,136192
금고부품,X
기타분류안된금속가공제품,275178
"전자부품,컴퓨터,영상,음향및통신장비제조업",309390428
DRAM,94874187
SRAM,X
Flash메모리(모듈포함),15088342
기타반도체메모리,16648722
