품목별,출하액 (백만원)
동관,1119855
동제의 관연결구류,437582
알루미늄 봉(압연에 의한 것),313015
알루미늄 새시바(압출에 의한 것),2064053
알루미늄 선,300372
알루미늄 판,3153574
알루미늄박(두께 0.2 ㎜ 이하),610388
알루미늄 관,429748
알루미늄제  관연결구류,52307
"니켈 압연,압출 및 연신제품",X
"연(납) 압연,압출 및 연신제품",214818
"아연 압연,압출 및 연신제품",124443
"주석 압연,압출 및 연신제품",52177
텅스텐(중석) 압연 및 압출 제품,187657
귀금속 압연 및 압출 제품,150812
세금선,X
기타 비철금속 압연 및 압출제품,241293
동 분말,166577
알루미늄 분말,X
아연 분말,X
텅스텐분말,X
기타 비철금속 분말,125206
기타 １차 비철금속제품,162244
회주물(보통주철),2546602
가단주물,90764
구상흑연주물(덕타일 주물),213882
보통강 주물,787801
특수강 주물(합금강주물),411301
알루미늄 주물,1108101
동 주물,258063
기타 비철금속 주물,587265
금속 가공제품 제조업; 기계 및 가구 제외,71323007
건물용철문,440541
셔터문,113252
기타 금속제 문,652862
금속제 창문,1181185
건축용 금속 공작물,2153248
판금제품,3147137
육상 금속 구조물,5317040
교량,426596
철제수문,93287
기타 육상 금속 골조 구조제조재,647403
수상 금속 구조물,4761653
금속제 조립식 건축물,450884
금속제 조립식 건축물용 판넬,1613115
스티로폼 샌드위치패널,149119
우레탄폼 샌드위치패널,52933
그라스울 샌드위치패널,43298
기타 샌드위치패널,23172
산업용 온수보일러,537390
방열기,169869
산업용 온수보일러 및 방열기의 부품,39415
저장용 금속탱크,1961752
압축 및 액화 가스용기,743144
수관보일러,455261
연관보일러,61817
기타 산업용 보일러,2798086
보일러 부속품 및 부품,146878
