인삼과자,,31924,89577,84765,123958,113374,152538,130478,197016,107012,144875,141496,155091,199265,262170
기타인삼기저식품,122274,90062,119883,28553,58362,22455,19118,27253,23578,25242,26940,16882,16726,17517,34207
건강원제품,19320,15526,16609,16707,36947,31805,84875,85777,76420,86350,61587,105289,84578,78607,175626
기타건강보조용액화식품,147158,,,294617,209530,163809,40987,43028,34112,34581,49577,59005,86211,139234,177241
스쿠알렌식품,,,,...,...,...,15220,100043,100873,98116,69117,6424,6151,X,X
효소식품,,,,2262,32342,24560,80563,126456,130179,353530,204053,255960,254408,348530,403226
정제어유가공식품,,,,1575,14001,16014,56162,65711,55247,124549,58650,67040,21050,30230,173376
알로에식품,,,,...,84952,44589,45985,50629,42587,35224,50956,78374,72245,80610,103944
기타건강기능식품,,,,10984,145508,231366,453794,506479,451383,565819,834924,975798,1231005,1712370,2269324
계란및새알가공품,65786,77371,95002,128021,201742,192246,258142,211824,230173,314051,365239,426988,406181,429990,588491
기타식품,,2125,17769,9928,10791,...,2691,34806,12590,14174,41438,58924,52224,56930,58587
배합사료(양우용),,,,1974472,2843696,3138167,3738763,4234664,4330698,4034614,3130583,3155167,3160357,3451272,3612710
배합사료(양돈용),,,,1224569,2122654,2014672,2215783,2557179,2851174,2589445,2189491,2301926,2368704,2439227,3215553
배합사료(양계용),,,,911050,1242659,1690464,1487133,1612482,1799377,1500099,1974912,1709211,2029687,1873717,2491134
배합사료(기타동물),,,,1011360,1239031,1262905,1265441,1401542,1156800,1294886,1528415,1365688,1002890,1088325,951598
배합사료(양어용),,,,,,,94172,102318,101400,159611,204723,219040,203853,215578,289496
애완동물사료,,15466,21363,270505,294952,88966,176103,165186,181018,221429,218024,256825,292807,365000,720055
단미사료,141214,,,,,,,,,,142380,95327,119942,157812,211232
사료첨가제,42467,59763,100794,111510,109446,67223,169429,206215,393419,348570,400327,351150,409570,447046,431500
기타사료,,498584,357317,364238,178847,391581,508664,581917,503217,284412,89135,106023,89944,97503,103722
동물용조제식품,,,,7717,...,...,4715,5057,17548,22325,19677,28526,44336,59646,130752
음료제조업,,,,7738398,8476185,8231084,9224617,10282958,10265132,10946228,11505984,11784516,11940953,12036174,12504509
탁주,,,122615,115019,119957,180653,349612,376171,351173,351362,332494,315582,318732,313286,338401
약주,,,103613,91157,95852,67922,93628,60075,50884,44641,46846,53407,52998,45500,74268
맥아,35927,29724,28385,29337,28154,23241,...,,,,7148,X,X,X,X
맥주,1692287,1909825,1495712,1729563,1827690,1879068,1960486,2109628,2274675,2543932,2341215,2466683,2352107,2021602,2178533
청주,...,120739,84579,78242,71872,133538,48595,35418,48535,56113,58840,X,X,X,58340
